id,title,description,label,source,predicted_label
gh351,MavenGate Attack Hijacks Java and Android Dependencies via Expired Domain Purchase Affecting 18% of Maven Central,"The MavenGate supply chain attack allowed attackers to hijack Java and Android library dependencies by purchasing expired domains corresponding to abandoned Maven groupIds, enabling injection of malicious code into applications built by Google, Facebook, Signal, and Amazon with 6,170 of 33,938 analyzed domains found vulnerable.",AV-509,https://blog.oversecured.com/Introducing-MavenGate-a-supply-chain-attack-method-for-Java-and-Android-applications/,AV-509
gh352,MavenGate Enables Malicious Plugin Injection into Java Build Process via Abandoned GroupId Takeover,"The MavenGate attack demonstrated that beyond dependency hijacking, attackers who gain control of an abandoned Maven groupId can inject malicious Gradle and Maven build plugins that execute arbitrary code during the build process of all applications using the compromised groupId.",AV-509,https://thehackernews.com/2024/01/hackers-hijack-popular-java-and-android.html,AV-509
gh353,Java-Class-Hijack Attack Injects Malicious Class via Maven Dependency Packaging Order to Control Database Logic,"The Java-Class-Hijack supply chain attack exploits Maven's depth-first dependency packaging order and JVM classpath resolution to inject a malicious class with the same fully qualified name as a legitimate one, demonstrated by compromising the Corona-Warn-App's database connection logic.",AV-509,https://github.com/chains-project/maven-hijack-poc,AV-509
gh354,Maven-Hijack Exploits Dependency Resolution Order to Override Core Application Behavior Without Modifying Source,Maven-Hijack attacks exploit Maven's depth-first search dependency packaging and Java's classpath resolution mechanism to silently override core application behavior by injecting malicious classes into transitive dependencies without modifying main codebase or library names.,AV-509,https://chains.proj.kth.se/maven-hijack.html,AV-509
gh355,Artifactory Maven Proxy Artifact Poisoning via CVE-2024-6915 Allows Serving Malicious spring-boot-starter-web,"CVE-2024-6915 in JFrog Artifactory allowed attackers to poison Maven proxy repositories by saving any HTTP response from a remote endpoint as an arbitrary artifact, enabling malicious versions of commonly used libraries like spring-boot-starter-web to be served to downstream builds.",AV-509,https://github.blog/security/vulnerability-research/attacks-on-maven-proxy-repositories/,AV-509
gh356,GitHub Supply Chain Attack Uses Stolen Browser Cookies to Take Over Developer Accounts and Commit Malicious Code,"A GitHub supply chain attack leveraged stolen browser cookies to hijack developer accounts, using compromised accounts to contribute malicious code with verified commits and publish malicious packages to PyPI linked to popular GitHub projects via a fake pypihosted.org mirror.",AV-200,https://blog.barracuda.com/2024/04/05/cybersecurity-threat-advisory-github-supply-chain-attack,AV-200
gh357,GitHub Supply Chain Attack Installs Keylogger Capturing Passwords Personal Messages and Financial Details,"A complex GitHub supply chain attack installed keylogger malware on developer systems that logged all keystrokes including passwords, personal messages, and financial details, while also stealing browser cookies, autofill data, credit cards, and login credentials from Chrome, Edge, Opera, and Yandex.",AV-400,https://blog.barracuda.com/2024/04/05/cybersecurity-threat-advisory-github-supply-chain-attack,AV-400
gh358,Malicious PyPI Package Decrypts and Steals Discord Tokens to Hijack Developer Discord Accounts,"A malicious PyPI package in the GitHub supply chain attack campaign accessed Discord application data directories, decrypted locally stored Discord authentication tokens, and exfiltrated them to attacker infrastructure enabling complete takeover of victim Discord accounts.",AV-400,https://blog.barracuda.com/2024/04/05/cybersecurity-threat-advisory-github-supply-chain-attack,AV-400
gh359,Supply Chain Malware Steals Cryptocurrency Wallets and Telegram Data from Compromised Developer Systems,"A malicious package distributed through a compromised GitHub supply chain attack stole cryptocurrency wallet files and Telegram session data from infected developer machines, combining financial theft with communication account compromise.",AV-400,https://blog.barracuda.com/2024/04/05/cybersecurity-threat-advisory-github-supply-chain-attack,AV-400
gh360,Malicious Supply Chain Package Steals Instagram Session Tokens from Compromised Developer Machines,"A malicious package distributed through a typosquatted Python mirror registered as files.pypihosted.org stole Instagram session tokens from developer machines, targeting social media authentication credentials alongside financial and communication data.",AV-400,https://blog.barracuda.com/2024/04/05/cybersecurity-threat-advisory-github-supply-chain-attack,AV-400
gh361,Malicious Rust Crate rustdecimal Typosquats rust_decimal Financial Library on Crates.io,"The malicious Rust crate rustdecimal typosquatted the popular rust_decimal financial calculation library on crates.io, targeting Rust developers working on financial applications and attempting to exfiltrate sensitive configuration data from systems where it was installed.",AV-200,https://github.com/advisories/GHSA-cjjc-xp8v-855w,AV-200
gh362,Malicious Rust Crate ferris-says-rs Typosquats ferris-says on Crates.io Targeting Beginners,"A malicious Rust crate named ferris-says-rs typosquatted the popular ferris-says learning tool on crates.io, specifically targeting Rust beginners who are likely to install tutorial packages without careful verification of package names.",AV-200,https://github.com/advisories?query=malicious+crate,AV-200
gh363,Rust Cargo Dependency Confusion Attack via Crates.io and Private Registry Name Collision,"Dependency confusion attacks targeting the Rust Cargo ecosystem exploit name collisions between private internal crates and public crates.io packages, causing Cargo's dependency resolution to automatically prefer public malicious crates over private internal ones when version numbers are higher.",AV-509,https://github.com/advisories/GHSA-v4f4-23wc-99mh,AV-509
gh364,event-stream npm Package Compromise Targets Copay Bitcoin Wallet to Steal Cryptocurrency Funds,The event-stream npm package was compromised by a new maintainer who added the flatmap-stream dependency containing obfuscated code that specifically targeted the Copay Bitcoin wallet application to steal funds from wallets with balances exceeding 100 Bitcoin.,AV-400,https://blog.npmjs.org/post/180565383195/details-about-the-event-stream-incident,AV-400
gh365,Malicious npm Package Installs Hidden Cryptominer Using Victim CPU Resources for Monero Mining,Multiple malicious npm packages documented in security research installed hidden cryptocurrency mining software that silently consumed victim CPU and GPU resources to mine Monero cryptocurrency for attackers while running in the background of developer systems.,AV-400,https://securitylabs.datadoghq.com/articles/malicious-pypi-package-targeting-highly-specific-macos-machines/,AV-400
gh366,Malicious npm Package Uses DNS Queries to Exfiltrate Stolen Credentials Bypassing HTTP Monitoring,"A malicious npm package documented in supply chain security research used DNS query encoding to exfiltrate stolen credentials and environment variables, bypassing HTTP and HTTPS network monitoring tools by encoding sensitive data as subdomain labels of attacker-controlled DNS queries.",AV-400,https://arxiv.org/pdf/2002.01139,AV-400
gh367,Malicious PyPI Package Encodes AWS Credentials into DNS TXT Queries to Evade Data Loss Prevention,"A malicious PyPI package used DNS TXT record queries to exfiltrate AWS access keys and secret tokens by encoding them as base64 strings in DNS query hostnames, evading enterprise Data Loss Prevention systems that monitor HTTP traffic but not DNS queries.",AV-400,https://checkmarx.com/blog/supply-chain-attack-python-package-index/,AV-400
