id,title,description,label,source,predicted_label
gh251,axios npm Supply Chain Attack Executes Malicious Payload Only Inside Container Environments,"A compromised axios npm package contained container-aware malicious code that detected Docker and Kubernetes runtime environments before executing its Remote Access Trojan payload, remaining dormant on standard developer workstations to evade detection.",AV-400,https://github.com/advisories/GHSA-658g-p7jg-wx5g,AV-400
gh252,ReversingLabs Identifies Malicious PyPI Packages Installed Automatically via Dependency Automation Scripts,"ReversingLabs researchers identified malicious PyPI packages exploiting automated dependency management scripts that automatically installed packages matching naming patterns, causing dependency bots and renovate-style tools to silently install typosquatted malware.",AV-200,https://reversinglabs.com/blog/malicious-pypi-packages,AV-200
gh253,Snyk Documents Dependency Confusion Injected During Multi-Stage Docker Container Builds,"Snyk researchers documented dependency confusion attacks targeting intermediate stages of multi-stage Docker builds where malicious public packages were injected during build-only stages, compromising final production images while evading runtime security scanning.",AV-509,https://snyk.io/blog/detect-prevent-dependency-confusion-attacks-node-npm/,AV-509
gh254,Checkmarx Documents Trojan Source Unicode Obfuscation Silently Overriding Configuration Values,"Checkmarx researchers documented Trojan Source attacks where hidden Unicode characters silently modify configuration values in source code, causing security-critical settings such as authentication endpoints and encryption parameters to resolve to attacker-controlled values.",AV-300,https://checkmarx.com/blog/trojan-source-attack/,AV-300
gh255,Codecov Third-Party CI Integration Compromised to Exfiltrate Environment Credentials,"Attackers compromised the Codecov bash uploader CI integration by modifying it to collect and exfiltrate environment variables including AWS credentials and tokens, affecting thousands of organizations that had integrated Codecov into their CI pipelines.",AV-410,https://about.codecov.io/security-update/,AV-410
gh256,Datadog Identifies Malicious macOS PyPI Package Performing Staged Credential Exfiltration Across Runs,"Datadog Security Labs identified a malicious PyPI package targeting macOS developers that collected and exfiltrated credentials gradually across multiple execution runs, breaking the exfiltration into small chunks to evade network monitoring and anomaly detection.",AV-400,https://securitylabs.datadoghq.com/articles/malicious-pypi-package-targeting-highly-specific-macos-machines/,AV-400
gh257,Alex Birsan Research Shows Typosquatting Combined With Dependency Confusion Amplifies Attack Reach,Alex Birsan's research demonstrated how combining typosquatting with dependency confusion creates a chained attack where a typosquatted package triggers further dependency confusion by introducing additional package name collisions in the victim's build environment.,AV-200,https://www.bleepingcomputer.com/news/security/researcher-hacks-over-35-tech-firms-in-novel-supply-chain-attack/,AV-200
gh258,JFrog Documents Dependency Confusion via Docker Registry Mirror Overriding Private Internal Images,"JFrog researchers documented dependency confusion attacks targeting Docker registry mirrors where public Docker Hub images with matching names automatically overrode private internal container images during build processes, injecting attacker-controlled containers.",AV-509,https://jfrog.com/blog/npm-dependency-confusion/,AV-509
gh259,Snyk Documents Trojan Source Unicode Hidden Characters Altering CI Pipeline YAML Configuration,"Snyk researchers documented Trojan Source attacks where hidden Unicode characters alter the structure and interpretation of CI pipeline YAML configuration files, causing build systems to execute different pipeline steps from what administrators see when reviewing configurations.",AV-300,https://snyk.io/blog/trojan-source/,AV-300
gh260,GitHub Security Lab Documents Artifact Poisoning Attack Injecting Malicious Payload Between Pipeline Stages,"GitHub Security Lab documented pwn-requests attacks where malicious build artifacts are injected between pipeline stages, causing later pipeline stages to download and execute compromised artifacts that contain attacker-controlled payloads.",AV-410,https://securitylab.github.com/research/github-actions-preventing-pwn-requests/,AV-410
gh261,PyTorch-nightly Compromised Package Rewrites Its Own Files Post-Install to Insert Hidden Payload,"The malicious torchtriton package that hijacked PyTorch-nightly builds used post-installation file modification to rewrite its own package files, inserting a hidden payload after installation completed to evade install-time security scanning.",AV-400,https://pytorch.org/blog/compromised-nightly-dependency/,AV-400
gh262,Socket.dev Research Identifies npm Packages That Ship Clean Versions Before Introducing Malicious Updates,"Socket.dev security research identified a pattern of malicious npm packages that deliberately shipped multiple clean versions to establish trust and download history before introducing credential-stealing code in later updates, exploiting developer reliance on version history.",AV-200,https://socket.dev/research,AV-200
gh263,OWASP Documents Dependency Confusion Resolved Only During CI Builds Due to Environment Configuration Differences,"OWASP documented dependency confusion vulnerabilities where malicious packages are resolved exclusively during CI builds due to differences between CI and local development registry configurations, making the attack invisible to developers testing locally.",AV-509,https://owasp.org/www-project-top-ten/,AV-509
gh264,JFrog Documents Trojan Source Unicode Characters Altering Dynamically Generated Code Behavior,"JFrog researchers documented advanced Trojan Source attacks where hidden Unicode characters alter the behavior of dynamically generated code, causing code generation templates and meta-programming constructs to produce malicious output invisible during template review.",AV-300,https://jfrog.com/blog/trojan-source/,AV-300
gh265,Nx Build System GitHub Actions Pipeline Executes Malicious Payload Only After Multiple Successful Runs,"The compromised Nx build system npm package contained a pipeline execution counter that activated its data-stealing payload only after a configured number of successful CI runs, significantly reducing detection probability during initial deployment and testing.",AV-410,https://github.com/nrwl/nx/security/advisories/GHSA-cxm3-wv7p-598c,AV-410
gh266,dYdX Malicious Package Disables Security Validation Checks Before Executing Wallet-Stealing Payload,"Threat actors published malicious dYdX client packages that disabled security validation and certificate checking mechanisms before executing their cryptocurrency wallet-stealing payload, preventing detection by security monitoring tools integrated into the development environment.",AV-400,https://socket.dev/blog/malicious-dydx-packages-published-to-npm-and-pypi,AV-400
gh267,Phylum Documents Malicious npm Package Promoted via Automated Dependency Update Tool Suggestions,"Phylum researchers discovered malicious npm packages that were automatically suggested by dependency update tools such as Dependabot and Renovate due to typosquatted naming, causing automated pull requests to introduce malicious packages into projects without developer review.",AV-200,https://phylum.io/blog/phylum-discovers-another-malicious-package-campaign/,AV-200
gh268,Unit42 Documents Dependency Confusion via Internal Package Names Leaked Through Docker Build Context,"Palo Alto Networks Unit42 documented dependency confusion attacks where internal package names were exposed through Docker build context files and layer history, allowing attackers to register matching public packages and override private dependencies in containerized builds.",AV-509,https://unit42.paloaltonetworks.com/dependency-confusion/,AV-509
