id,title,description,label,source,predicted_label
gh200,CI workflow executes hidden script from encoded variable,Encoded payload stored in variable is decoded and executed in pipeline,AV-410,https://securitylab.github.com/advisories/,AV-410
gh201,Package installs normally but activates on specific command,Malicious logic triggers only when a specific command is executed by user,AV-400,https://github.com/advisories/GHSA-69r6-7h4f-9p7q,AV-400
gh202,Typosquatted package with delayed malicious update,Initial version is clean but later update introduces malicious code,AV-200,https://github.com/advisories/GHSA-p5wr-vp8g-q5p4,AV-200
gh203,Dependency confusion via misconfigured fallback registry,Private registry failure causes fallback to malicious public package,AV-509,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-24105,AV-509
gh204,Unicode attack hidden in rarely used code path,Obfuscated Unicode logic only triggers under rare execution paths,AV-300,https://github.com/advisories?query=trojan+source,AV-300
gh205,CI pipeline executes malicious step only on tagged releases,Hidden step activates only when release tags are detected,AV-410,https://securitylab.github.com/advisories/GHSL-2024-208,AV-410
gh206,Library uses external plugin to load malicious code,Malicious behavior introduced through dynamically loaded plugin,AV-400,https://github.com/advisories/GHSA-jcxm-7wvp-g6p5,AV-400
gh207,Typosquatting combined with social engineering,Fake package promoted through documentation and tutorials,AV-200,https://github.com/advisories/GHSA-g3j5-mpp2-2fqm,AV-200
gh208,Dependency confusion targeting build-time dependency,Attack exploits dependency used only during build process,AV-509,https://hackerone.com/reports/1010369,AV-509
gh209,Unicode characters alter error handling logic,Obfuscation changes exception handling behavior invisibly,AV-300,https://trojansource.codes,AV-300
gh210,CI pipeline pulls malicious dependency from external URL,Build process fetches dependency from untrusted remote source,AV-410,https://securitylab.github.com/advisories/GHSL-2024-268_Hibernate_ORM/,AV-410
gh211,Package embeds encrypted payload decrypted at runtime,Payload remains hidden until decrypted during execution,AV-400,https://github.com/advisories/GHSA-cxm3-wv7p-598c,AV-400
gh212,Typosquatted package with correct tests and CI setup,Fake package includes full CI to appear trustworthy,AV-200,https://blog.sonatype.com/twilio-npm-is-brandjacking-malware-in-disguise,AV-200
gh213,Dependency confusion exploiting transitive dependency chain,Indirect dependency replaced with malicious version,AV-509,https://hackerone.com/reports/885539,AV-509
gh214,Unicode bidirectional override affects loop execution,Loop logic altered through hidden direction control characters,AV-300,https://arxiv.org/abs/2111.11261,AV-300
gh215,CI workflow uses compromised reusable action,External GitHub Action contains malicious logic executed in pipeline,AV-410,https://github.com/advisories/GHSA-mrrh-fwg8-r2c3,AV-410
gh216,Library triggers data exfiltration under specific user role,Malicious code activates only for admin-level users,AV-400,https://github.com/advisories/GHSA-9ppg-jx86-fqw7,AV-400
gh217,Typosquatting attack using domain similarity in docs,Documentation links redirect to malicious package repository,AV-200,https://blog.checkpoint.com/securing-the-cloud/pypi-inundated-by-malicious-typosquatting-campaign/,AV-200
gh218,Dependency confusion via container registry overlap,Docker image name conflicts with internal registry naming,AV-509,https://pytorch.org/blog/compromised-nightly-dependency/,AV-509
gh219,Unicode obfuscation hides conditional execution branch,Hidden branch executes malicious logic under specific conditions,AV-300,https://github.com/eslint/eslint/issues/15240,AV-300
gh220,CI pipeline executes script from encoded configuration file,Encoded script stored in config is decoded and executed during build,AV-410,https://securitylab.github.com/advisories/GHSL-2021-090_rustsec_advisory-db/,AV-410
gh221,Package behaves maliciously only in production environment,Code activates payload only when deployed outside development environment,AV-400,https://github.com/advisories/GHSA-f29h-pxvx-f335,AV-400
gh222,Typosquatted package later becomes dependency of popular project,Fake package gains trust after being included as indirect dependency,AV-200,https://socket.dev/blog/malicious-npm-package-masquerades-as-noblox-js,AV-200
