id,title,description,label,source,predicted_label
gh1004,requets PyPI Package Typosquats requests Library Running Credential Theft via setup.py at Install Time,"The malicious PyPI package requets used a one-character transposition to typosquat the popular requests HTTP library, running credential-stealing code in setup.py at install time that exfiltrated environment variables and SSH keys before most developers noticed the misspelling.",AV-200,https://thebrightbyte.com/playbook/insights/supply-chain-attacks-xz-npm-pypi,AV-200
gh1006,colorama-py PyPI Package Typosquats colorama Terminal Coloring Library Targeting Python Developers,"The malicious PyPI package colorama-py used a hyphenated suffix to typosquat the widely-used colorama Python library for colorizing terminal output, executing a postinstall payload that stole environment variables, SSH keys, and developer credentials from compromised systems.",AV-200,https://thebrightbyte.com/playbook/insights/supply-chain-attacks-xz-npm-pypi,AV-200
gh1009,selemium PyPI Package Typosquats selenium Browser Automation Library Stealing CI/CD Environment Secrets,"The malicious PyPI package selemium used a character transposition to typosquat the popular selenium browser automation library, targeting QA engineers and developers running automated browser tests by stealing CI/CD environment secrets and authentication tokens during package installation.",AV-200,https://thebrightbyte.com/playbook/insights/supply-chain-attacks-xz-npm-pypi,AV-200
gh749,solana-test Malicious PyPI Package Impersonates Solana Testing Framework to Steal Private Keys and Source Code,"The malicious PyPI package solana-test published by a threat actor in May 2025 impersonated a legitimate Solana blockchain testing framework, stealing cryptocurrency wallet private keys and Python source code files from developer file systems and transmitting them to attacker-controlled servers.",AV-200,https://cloudsmith.com/blog/multiple-malicious-packages-discovered-on-pypi-npm-and-rubygems,AV-200
gh747,solana-token PyPI Package Brandjacks Solana Name to Distribute Cryptocurrency Credential-Stealing Malware,"The malicious PyPI package solana-token brandjacked the Solana cryptocurrency name to masquerade as a legitimate token management utility, deploying credential-stealing malware that targeted Solana wallet private keys and cryptocurrency exchange API credentials from compromised developer systems.",AV-200,https://cloudsmith.com/blog/multiple-malicious-packages-discovered-on-pypi-npm-and-rubygems,AV-200
gh745,xlsc-to-json-lh PyPI Package Typosquats xlsx-to-json-lc Excel Converter with 1500 Weekly Downloads to Delete Project Directories,"The malicious PyPI package xlsc-to-json-lh used a one-letter transposition to typosquat the legitimate xlsx-to-json-lc Excel to JSON converter with over 1500 weekly downloads, deploying a destructive payload capable of deleting entire developer project directories without warning or recovery options.",AV-200,https://cloudsmith.com/blog/multiple-malicious-packages-discovered-on-pypi-npm-and-rubygems,AV-200
gh743,dexscreener-charts PyPI Brandjacking Package Impersonates DexScreener DeFi Analytics to Steal Crypto Credentials,"The malicious PyPI package dexscreener-charts brandjacked the DexScreener decentralized exchange analytics platform name to distribute cryptocurrency credential-stealing malware targeting DeFi developers, stealing wallet private keys and exchange API tokens from compromised developer machines.",AV-200,https://cloudsmith.com/blog/multiple-malicious-packages-discovered-on-pypi-npm-and-rubygems,AV-200
gh741,@typescript_eslinter/eslint npm Package Uses Fake Scope to Typosquat typescript-eslint Gaining Hundreds of Daily Downloads,"Attackers uploaded a malicious npm package named @typescript_eslinter/eslint using an underscore in the scope name to visually mimic the legitimate @typescript-eslint linting package, gaining hundreds of downloads daily before detection by exploiting developer confusion between hyphen and underscore scope naming.",AV-200,https://protsenko.dev/2025/04/21/malicious-packages-in-npm-and-pypi-how-typosquatting-threatens-developers/,AV-200
gh739,@types-node npm Fake Scope Package Typosquats @types/node TypeScript Definitions Attracting 1000 Downloads Per Day,"The malicious npm package @types-node used a hyphen instead of a slash to create a visually similar but distinct scope that typosquatted the widely-used @types/node TypeScript type definitions package, attracting nearly 1,000 downloads per day from TypeScript developers who missed the subtle naming difference.",AV-200,https://protsenko.dev/2025/04/21/malicious-packages-in-npm-and-pypi-how-typosquatting-threatens-developers/,AV-200
gh737,aliyun-ai-labs-snippets-sdk PyPI Package Impersonates Aliyun AI SDK Deploying Infostealer Hidden in PyTorch Model,"The malicious PyPI package aliyun-ai-labs-snippets-sdk impersonated a legitimate Aliyun AI Labs Python SDK, delivering an infostealer payload hidden inside a PyTorch model loaded from the initialization script, collecting over 1,700 downloads across three related packages within 24 hours before removal.",AV-200,https://thehackernews.com/2025/06/malicious-pypi-npm-and-ruby-packages.html,AV-200
