id,title,description,label,source,predicted_label
gh601,Mini Shai-Hulud Supply Chain Worm Targets SAP npm Packages Exfiltrating Credentials to ICP Canister and GitHub Repos,"The Mini Shai-Hulud supply chain worm targeted SAP-related npm packages in April 2026, collecting tokens, credentials, API and SSH keys, cloud service secrets, CI/CD system tokens, Kubernetes and Docker configurations, and LLM platform credentials before exfiltrating to both a conventional webhook and an ICP canister endpoint with hardcoded canister ID cjn37-uyaaa-aaaac-qgnva-cai.",AV-410,https://www.theregister.com/security/2026/04/22/another-npm-supply-chain-worm-hits-dev-environments/5220989,AV-410
gh602,Mini Shai-Hulud Worm Steals MetaMask and Phantom Browser Extension Data Plus Solana Ethereum Bitcoin Exodus Wallet Files,"The Mini Shai-Hulud npm worm contained dedicated logic to extract browser extension data associated with MetaMask and Phantom cryptocurrency wallets, alongside local cryptocurrency wallet files including Solana, Ethereum, Bitcoin, Exodus, and Atomic Wallet data, targeting the full spectrum of cryptocurrency assets accessible from compromised developer systems.",AV-410,https://www.theregister.com/security/2026/04/22/another-npm-supply-chain-worm-hits-dev-environments/5220989,AV-410
gh603,PyTorch Lightning PyPI Versions 2.6.2 and 2.6.3 Compromised as Mini Shai-Hulud Extension Bypassing Source Control,"PyTorch Lightning versions 2.6.2 and 2.6.3 were compromised on April 30 2026 when an attacker with stolen PyPI credentials cloned the open source code, injected a malicious payload into a hidden _runtime directory containing a downloader and obfuscated JavaScript payload, and pushed tampered builds directly to PyPI bypassing source control entirely.",AV-400,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-400
gh604,Lightning PyPI Compromise Downloads Bun JavaScript Runtime to Execute 11MB Obfuscated Credential-Stealing Payload,"The compromised PyTorch Lightning PyPI package initiated an attack chain through a Python start.py script that downloaded and executed the Bun JavaScript runtime, then used it to run an 11MB obfuscated malicious payload router_runtime.js designed to conduct comprehensive credential theft from developer and CI/CD environments.",AV-400,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-400
gh605,Mini Shai-Hulud Writes Malicious Payload to .claude/settings.json and .vscode/tasks.json for Persistent IDE-Level Execution,"The Mini Shai-Hulud malware payload in the Lightning PyPI compromise wrote malicious payload files to .claude/settings.json and .vscode/tasks.json paths, establishing persistence at the IDE configuration level to ensure malicious code executed automatically whenever developers opened their AI coding assistant or VS Code editor.",AV-410,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-410
gh606,Mini Shai-Hulud Creates Public GitHub Repository Titled A Mini Shai-Hulud has Appeared as Fallback Exfiltration Channel,"The Mini Shai-Hulud malware used a distinctive public GitHub repository titled A Mini Shai-Hulud has Appeared as a fallback credential exfiltration channel when primary ICP canister exfiltration failed, using stolen GitHub tokens to create and write encrypted credential payloads to the public repository as encrypted data blobs.",AV-410,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-410
gh607,QLNX Threat Actor Deploys Full Linux Implant with PAM Hooking to Steal npm PyPI AWS Kubernetes and Docker Hub Credentials,"The QLNX threat actor deployed a full-fledged Linux implant combining remote access, stealth, persistence, and credential harvesting in a single payload with minimal detection footprint, using PAM hooking to capture authentication credentials alongside stealing npm, PyPI, AWS, Kubernetes, Docker Hub, environment variables, authentication tokens, and plaintext passwords from compromised developer systems.",AV-400,https://blog.rankiteo.com/pypnpm1778070456-pypi-npm-cyber-attack-may-2026/,AV-400
gh608,QLNX Linux Implant Creates Backdoors in Production Environments via Trojanized Package Updates Reaching Millions of Users,"The QLNX Linux implant established backdoors in production environments through trojanized package updates, with the operational impact including potential malicious updates delivered to millions of end users, persistent backdoors in production cloud infrastructure, and unauthorized access to developer workstations and CI/CD pipeline systems.",AV-400,https://blog.rankiteo.com/pypnpm1778070456-pypi-npm-cyber-attack-may-2026/,AV-400
gh609,TeamPCP Conducts Second Supply Chain Attack Against Checkmarx npm Packages Within Two Months of Initial Compromise,"The TeamPCP threat group conducted a second supply chain attack against Checkmarx npm packages within two months of their initial compromise, demonstrating the persistence and targeting focus of sophisticated supply chain attack groups that return to the same victims with refined techniques after initial detection and remediation.",AV-200,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-200
gh610,CanisterWorm Attack Linked to TeamPCP Group Uses Identical ICP Canister Infrastructure to CanisterSprawl Campaign,"Socket researchers linked CanisterWorm attacks to the TeamPCP threat group based on identical ICP canister command-and-control infrastructure, credential theft methods, and self-propagation techniques observed in the earlier CanisterSprawl campaign, establishing TeamPCP as a persistent multi-campaign supply chain threat actor.",AV-410,https://www.bleepingcomputer.com/news/security/new-npm-supply-chain-attack-self-spreads-to-steal-auth-tokens/,AV-410
gh511b,npm Supply Chain Worm Jumps to PyPI Ecosystem Using .pth-Based Payload When Python Credentials Are Found on Victim System,"A new npm supply chain worm documented by Socket and StepSecurity applied a .pth-based payload to Python packages when PyPI credentials were found on victim developer systems, making this a multi-ecosystem attack that automatically jumped from the JavaScript to Python package ecosystem using whatever credentials were available on the compromised machine.",AV-509,https://www.bleepingcomputer.com/news/security/new-npm-supply-chain-attack-self-spreads-to-steal-auth-tokens/,AV-509
gh612,Socket Advises Auditing npm Packages for Same public.pem File Webhook Host or postinstall Pattern as IoC for Worm Infection,"Socket security researchers advised organizations to audit their npm environments for indicators of compromise including packages sharing the same public.pem file, identical webhook host endpoints, or matching postinstall execution patterns as reliable indicators that additional npm packages may be infected with the same supply chain worm payload.",AV-410,https://www.bleepingcomputer.com/news/security/new-npm-supply-chain-attack-self-spreads-to-steal-auth-tokens/,AV-410
gh613,intercom-client PyPI Package Compromised Alongside Lightning in Coordinated Mini Shai-Hulud Supply Chain Campaign,"The intercom-client PyPI package was compromised alongside PyTorch Lightning versions 2.6.2 and 2.6.3 in a coordinated Mini Shai-Hulud supply chain campaign, demonstrating that the April 2026 attack targeted multiple high-value Python packages simultaneously to maximize credential theft reach across the Python developer ecosystem.",AV-400,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-400
gh614,Trojan Source Unicode Characters in .env Environment Configuration Files Alter Variable Names and Secret Values,"Security researchers demonstrated Trojan Source attacks in .env environment configuration files where hidden Unicode characters alter environment variable names and values, causing applications to read different secret values and configuration parameters than what developers see when reviewing environment files during security audits and code reviews.",AV-300,https://trojansource.codes,AV-300
gh615,PyPI Suspends New User Registrations and Package Uploads in May 2023 Due to Significant Increase in Malicious Package Activity,"PyPI suspended new user registrations and package uploads in May 2023 in response to a significant increase in malicious package submissions, demonstrating that supply chain attacks on centralized registries had reached a scale requiring emergency measures to protect the Python developer community from automated malicious package campaigns.",AV-200,https://arxiv.org/pdf/2307.09087,AV-200
gh616,Hitchhiker Guide Research Documents Arbitrary Code Execution via Malicious Package Distribution with Evasion Techniques,"Academic research titled The Hitchhiker Guide to Malicious Third-Party Dependencies documented how attackers achieve Arbitrary Code Execution through distribution of malicious packages, analyzing evasion techniques including delayed execution, environment detection, and obfuscation that allow malicious packages to bypass automated security scanning in package registries.",AV-400,https://arxiv.org/pdf/2307.09087,AV-400
gh617,Open Source Software Comprising Up to 98 Percent of Modern Codebases Creates Systemic Supply Chain Attack Risk for Global Infrastructure,"Academic research citing Linux Foundation data documented that open source software accounts for up to 98 percent of modern application codebases, establishing that supply chain attacks on widely-used open source packages represent a systemic risk to global software infrastructure requiring national security-level attention and coordinated defensive response.",AV-509,https://arxiv.org/pdf/2307.09087,AV-509
gh618,Mini Shai-Hulud Targets SAP Enterprise npm Packages to Access Enterprise Resource Planning System Credentials and Cloud Infrastructure,"The Mini Shai-Hulud supply chain worm specifically targeted SAP-related npm packages used in enterprise resource planning system integrations, seeking to harvest credentials for SAP cloud services, enterprise APIs, and connected business infrastructure that would provide access to sensitive financial and operational data in large enterprise organizations.",AV-410,https://www.theregister.com/2026/04/30/supply_chain_attacks_sap_npm_packages/,AV-410
gh619,pgserve CanisterSprawl Worm Bumps Patch Version of Every Package Victim Can Publish to Disguise Malicious Republication,"The pgserve CanisterSprawl worm used a sophisticated version bumping strategy where for each npm package the victim had publish access to, it incremented the patch version number before injecting the malicious payload and republishing, making compromised versions appear as legitimate routine maintenance updates to both developers and automated dependency management tools.",AV-200,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-200
gh620,Trojan Source Unicode Characters in Prisma Database Schema Files Alter Model Definitions and Access Control Relations,"Security researchers demonstrated Trojan Source attacks in Prisma database schema files where hidden Unicode characters alter data model field definitions and relation configurations, causing generated Prisma client code to expose different data access patterns and bypass row-level security controls from what database engineers intend during schema design review.",AV-300,https://arxiv.org/abs/2111.11261,AV-300
gh621,Shai-Hulud and Mini Shai-Hulud Extract Secrets from GitHub Actions Runner Worker Memory Using Advanced Memory Scanning Techniques,"Both Shai-Hulud and Mini Shai-Hulud supply chain worms implemented advanced techniques to extract secrets from GitHub Actions Runner Worker process memory, scanning process memory spaces for plaintext credential patterns including API keys, tokens, and passwords that CI/CD systems temporarily hold in memory during workflow execution.",AV-410,https://www.trendmicro.com/en_us/research/25/i/npm-supply-chain-attack.html,AV-410
gh622,Mini Shai-Hulud PHP Payload Mirrors Broader Tradecraft Including Install-Time Execution Bun Runtime and Heavily Obfuscated JavaScript,"The Mini Shai-Hulud PHP payload found in the Lightning and SAP npm compromises mirrored the broader Mini Shai-Hulud tradecraft across recent npm and PyPI compromises including install-time execution, Bun-based payload launch, heavily obfuscated JavaScript, and credential harvesting from developer and CI/CD environments with encrypted exfiltration.",AV-400,https://thehackernews.com/2026/04/pytorch-lightning-compromised-in-pypi.html,AV-400
gh623,Namastex.ai npm Packages Linked to CanisterSprawl via Identical Install-Time Execution Credential Theft and ICP Canister Exfiltration,"Socket investigation linked compromised Namastex.ai npm packages to the CanisterSprawl campaign based on identical core methods including install-time execution, credential theft targeting developer environment secrets, off-host exfiltration to canister-backed ICP infrastructure, and self-propagation logic that infected additional npm packages using stolen publish tokens.",AV-200,https://blog.gitguardian.com/three-supply-chain-campaigns-hit-npm-pypi-and-docker-hub-in-48-hours/,AV-200
gh624,Supply Chain Malware Specifically Targets Kubernetes Service Account Tokens and kubeconfig Files for Container Orchestration Access,"Multiple supply chain attack campaigns documented in 2025 and 2026 specifically targeted Kubernetes service account tokens and kubeconfig configuration files, providing attackers with access to container orchestration infrastructure used to run production workloads, enabling lateral movement into Kubernetes clusters hosting sensitive applications.",AV-509,https://blog.rankiteo.com/pypnpm1778070456-pypi-npm-cyber-attack-may-2026/,AV-509
