id,title,description,label,source,predicted_label
gh551,GlassWorm Self-Propagating Malware Infects VS Code Extensions Using Solana Blockchain Wallet as Primary C2 Channel,"GlassWorm infected Visual Studio Code extensions across Open VSX Registry and Microsoft Extension Marketplace, using a Solana blockchain crypto wallet as primary command-and-control infrastructure with Google Calendar as a backup channel, hunting for GitHub, Git, npm, and Open VSX accounts plus crypto wallet keys, while also dropping a RAT named Zombi for complete system control.",AV-400,https://www.kaspersky.com/blog/supply-chain-attacks-in-2025/55522/,AV-400
gh552,GlassWorm VS Code Worm Simultaneously Targets Open VSX Registry and Microsoft Extension Marketplace for Maximum Developer Reach,"The GlassWorm supply chain worm simultaneously infected extensions across both the Open VSX Registry used by VS Code forks and the official Microsoft VS Code Extension Marketplace, maximizing developer reach by targeting extensions available across all major VS Code ecosystem platforms regardless of which IDE variant developers used.",AV-200,https://www.kaspersky.com/blog/supply-chain-attacks-in-2025/55522/,AV-200
gh553,IndonesianFoods Campaign Floods npm Registry with Tens of Thousands of Useless Packages to Overwhelm Security Scanning,"A coordinated malicious campaign dubbed IndonesianFoods flooded the npm registry in November 2025 with tens of thousands of useless packages, overwhelming automated security scanning infrastructure and creating a noise floor that made detection of genuinely malicious packages significantly more difficult for security teams.",AV-200,https://www.kaspersky.com/blog/supply-chain-attacks-in-2025/55522/,AV-200
gh554,Shai-Hulud 3.0 Emerges in December 2025 as Deliberately Constrained Stealth Release Evading Signatures from Earlier Variants,"Shai-Hulud 3.0 appeared in late December 2025 as a deliberately constrained release observed in a single npm package, with the payload showing significant refactoring aimed at evading existing detection signatures derived from earlier Shai-Hulud variants, improving cross-platform reliability, and signaling continued evolution toward more sophisticated future attacks.",AV-410,https://www.sygnia.co/threat-reports-and-advisories/supply-chain-attacks-in-q4-2025/,AV-410
gh555,Sygnia Q4 2025 Report Confirms Supply Chain Attacks Have Become Systemic Failure Mode Across Multiple Ecosystems Simultaneously,"Sygnia Q4 2025 threat report confirmed that supply chain attacks evolved from isolated incidents into a systemic failure mode appearing independently across npm, PyPI, VS Code marketplaces, and vendor development environments, with attackers consistently exploiting implicit trust in developer tooling and automated build pipelines without needing new vulnerabilities.",AV-410,https://www.sygnia.co/threat-reports-and-advisories/supply-chain-attacks-in-q4-2025/,AV-410
gh556,s1ngularity Attack Targets AI LLM Client Credentials for Claude Gemini and Amazon Q to Use AI Tools as Reconnaissance Platforms,"The s1ngularity supply chain campaign specifically targeted configuration files and authentication tokens for AI LLM clients including Claude, Gemini, and Amazon Q Developer, aiming to leverage victims own AI assistants elevated permissions and access to sensitive development environments to enumerate additional secrets and expand the attack surface.",AV-400,https://www.darkreading.com/cyberattacks-data-breaches/supply-chain-worms-in-2026-what-shai-hulud-taught-attackers-and-how-to-prepare,AV-400
gh557,s1ngularity Supply Chain Campaign Harvests 2349 Credentials from 1079 Developer Systems via Compromised Nx Packages,"The s1ngularity supply chain campaign harvested 2,349 credentials from 1,079 developer systems between August and November 2025 through compromised Nx build system packages, establishing the connection between the Nx compromise and the subsequent broader Shai-Hulud and related attack campaigns in the npm ecosystem.",AV-509,https://www.darkreading.com/cyberattacks-data-breaches/supply-chain-worms-in-2026-what-shai-hulud-taught-attackers-and-how-to-prepare,AV-509
gh558,Shai-Hulud 2.0 Reuses Stolen CI Tokens to Modify Legitimate Repositories Rather Than Publishing New Malware Packages,"Shai-Hulud 2.0 evolved beyond publishing new malicious packages to instead reusing stolen CI tokens and maintainer credentials to directly modify legitimate repositories, making detection significantly harder because the malicious changes appeared as legitimate commits from trusted maintainer accounts rather than suspicious new package publications.",AV-400,https://netlas.io/blog/supply_chain_attack/,AV-400
gh559,Linux Foundation Census II Study Finds 70-90 Percent of Modern Application Code is Open Source Creating Massive Supply Chain Attack Surface,"The Linux Foundation Census II study documented that open source software makes up approximately 70 to 90 percent of modern application code, establishing the foundational scale of software supply chain attack surfaces and explaining why compromising widely-used open source packages creates cascading impact across thousands of dependent applications.",AV-509,https://netlas.io/blog/supply_chain_attack/,AV-509
gh560,IoT Device Firmware Supply Chain Attacks Exploit Outdated Libraries in Embedded Systems with Long Product Lifecycles,"Security researchers documented supply chain attacks targeting IoT device firmware that exploit outdated open source libraries embedded in devices with multi-year lifecycles, where manufacturers rarely patch post-release vulnerabilities in bootloader components, hardware initialization modules, and RTOS kernels creating persistent security blind spots.",AV-400,https://finitestate.io/blog/top-software-supply-chain-threats-2025,AV-400
