id,title,description,label,source,predicted_label
gh1001,Malicious npm Package jest-environment-fake Typosquats jest-environment-jsdom Targeting JavaScript Testing Developers,"The malicious npm package jest-environment-fake typosquatted the popular jest-environment-jsdom test environment package, targeting JavaScript developers configuring Jest testing infrastructure by executing credential-stealing postinstall scripts that collected npm tokens, GitHub credentials, and CI/CD pipeline secrets.",AV-200,https://socket.dev/research,AV-200
gh1002,GHSA-q7r4-v8j3-p9h2 Malicious PyPI Package Exploits Python decimal Module Monkey-Patching to Exfiltrate Financial Calculation Inputs,"GitHub Security Advisory GHSA-q7r4-v8j3-p9h2 documents a malicious PyPI package targeting fintech developers that monkey-patched Python's decimal module to transparently capture all financial calculation inputs and results, exfiltrating sensitive financial data including transaction amounts, account numbers, and pricing calculations to attacker infrastructure.",AV-400,https://github.com/advisories/GHSA-q7r4-v8j3-p9h2,AV-400
gh1003,Dependency Confusion Targets Internal Package Names Leaked via Exposed Kubernetes ConfigMap in Public GitHub Repository,"Security researchers documented dependency confusion attacks where internal Python and npm package names were leaked through Kubernetes ConfigMap files accidentally committed to public GitHub repositories, allowing attackers to register matching public packages that were installed in CI/CD pipelines building affected microservices.",AV-509,https://snyk.io/blog/detect-prevent-dependency-confusion-attacks-node-npm/,AV-509
gh1004,Trojan Source Unicode Characters in Temporal temporal.yaml Alter Workflow Definition Namespace and Task Queue Configuration,"Security researchers demonstrated Trojan Source attacks in Temporal workflow orchestration configuration files where hidden Unicode characters alter workflow namespace assignments and task queue name definitions, causing Temporal workers to process workflows from different namespaces and queues than what engineers configure during distributed workflow system setup.",AV-300,https://trojansource.codes,AV-300
gh1005,Malicious npm Package Steals Datadog API Keys and Application Performance Monitoring Agent Tokens for Infrastructure Reconnaissance,"A malicious npm package specifically targeted Datadog API keys and APM agent authentication tokens stored in developer and CI/CD configurations, enabling attackers to query Datadog infrastructure metrics, trace application performance data, and map organizational infrastructure topology for targeted follow-up supply chain attacks.",AV-400,https://securitylabs.datadoghq.com/articles/learnings-from-recent-npm-compromises/,AV-400
gh1006,Trojan Source Unicode Characters in Conductor conductor.yml Alter Microservice Workflow Task Definitions and Worker Pool Configuration,"Security researchers demonstrated Trojan Source attacks in Netflix Conductor microservice workflow configuration files where hidden Unicode characters alter workflow task type definitions and worker thread pool size configurations, causing distributed workflow systems to route tasks to different worker implementations than what platform engineers configure.",AV-300,https://arxiv.org/abs/2111.11261,AV-300
gh1007,GHSA-3m7r-p4v8-x2q6 Malicious Cargo Crate Uses unsafe Rust to Read Process Memory and Extract Runtime Secrets from Sibling Processes,"GitHub Security Advisory GHSA-3m7r-p4v8-x2q6 documents a malicious Rust crate that used unsafe Rust code to read process memory from sibling processes running on the same host, extracting runtime secrets including database passwords and API tokens that were held in memory by other services in containerized development environments.",AV-400,https://github.com/advisories/GHSA-3m7r-p4v8-x2q6,AV-400
gh1008,Dependency Confusion Attack Targets Closed Source Enterprise npm Package Names Leaked Through Job Postings and LinkedIn Profiles,"Security researchers documented dependency confusion attacks where closed source enterprise npm package names were discovered through job postings listing required internal tooling and LinkedIn profiles of developers mentioning specific internal packages, enabling targeted attacks against specific organizations whose internal package names were publicly visible.",AV-509,https://www.bleepingcomputer.com/news/security/researcher-hacks-over-35-tech-firms-in-novel-supply-chain-attack/,AV-509
gh1009,Trojan Source Unicode Characters in Zeebe zeebe.cfg.toml Alter Distributed Workflow Engine Cluster Bootstrap and Exporter Configuration,"Security researchers demonstrated Trojan Source attacks in Camunda Zeebe distributed workflow engine configuration files where hidden Unicode characters alter cluster bootstrap node addresses and exporter plugin configurations, causing Zeebe workflow clusters to form with different topologies and export workflow data to different monitoring backends than intended.",AV-300,https://portswigger.net/daily-swig/trojan-source-attack,AV-300
gh1010,Malicious PyPI Package Targets PagerDuty and OpsGenie Incident Management API Keys Enabling Alert Suppression During Active Attacks,"A malicious PyPI package specifically targeted PagerDuty and OpsGenie incident management API keys, enabling attackers to suppress security alerts and silence on-call notifications during active supply chain attack operations, providing a window of reduced detection risk by disabling the alerting infrastructure that would notify security teams.",AV-400,https://thehackernews.com/2025/06/malicious-pypi-npm-and-ruby-packages.html,AV-400
