id,title,description,label,source,predicted_label
gh451,CISA Alert: Shai-Hulud npm Worm Compromises 500+ Packages Exfiltrating AWS GCP and Azure Credentials,"CISA issued an alert on the Shai-Hulud npm worm that compromised over 500 npm packages by gaining initial access via phishing, scanning environments for GitHub PATs and cloud API keys for AWS, Google Cloud, and Azure, exfiltrating credentials to attacker-controlled endpoints, and using GitHub REST API to spread automatically to additional maintainer accounts.",AV-410,https://www.cisa.gov/news-events/alerts/2025/09/23/widespread-supply-chain-compromise-impacting-npm-ecosystem,AV-410
gh452,Shai-Hulud Worm Exfiltrates All CI/CD Secrets via HTTP Requests to Attacker-Controlled Webhook Endpoints,"The Shai-Hulud worm compromised GitHub Actions workflows to enumerate all secrets exposed during CI/CD runtime, packaged them into transmission payloads, and sent them via HTTP requests to attacker-controlled webhook endpoints including webhook.site domains, affecting organizations across North America and Europe.",AV-410,https://www.trendmicro.com/en_us/research/25/i/npm-supply-chain-attack.html,AV-410
gh453,Shai-Hulud Worm Uses GitHub REST API to Identify and Compromise All Repositories Accessible to Victim Account,"The Shai-Hulud worm automated lateral movement by querying the GitHub REST API endpoint /user/repos with affiliation=owner,collaborator,organization_member to enumerate all repositories accessible to compromised developer accounts, then injecting malicious workflows into each identified repository to maximize attack spread.",AV-410,https://unit42.paloaltonetworks.com/npm-supply-chain-attack/,AV-410
gh454,Attacker Breaches Qix npm Maintainer via Fraudulent support@npmjs.help 2FA Reset Email Compromising 18 Packages,"Attackers breached the high-profile npm maintainer Qix through a sophisticated phishing campaign using the fraudulent domain support@npmjs.help to imitate a 2FA authentication reset email, gaining access to inject obfuscated browser-based cryptocurrency-stealing malware into 18 popular npm packages including debug, chalk, and ansi-styles.",AV-200,https://securitylabs.datadoghq.com/articles/learnings-from-recent-npm-compromises/,AV-200
gh455,Compromised debug chalk and ansi-styles npm Packages Inject Crypto Stealer Downloaded 2.5 Million Times,"Following the phishing compromise of maintainer Qix, malicious versions of debug, chalk, and ansi-styles npm packages containing obfuscated browser-based cryptocurrency-stealing malware hooking browser APIs to hijack transactions were downloaded over 2.5 million times before removal.",AV-400,https://securitylabs.datadoghq.com/articles/learnings-from-recent-npm-compromises/,AV-400
gh456,GhostActions Campaign Compromises PyPI Maintainer Account to Insert Malicious GitHub Actions Workflow Exfiltrating 3000+ Secrets,"The GhostActions campaign leveraged a compromised PyPI maintainer account on September 2 2025 to insert a malicious GitHub Actions workflow into package repositories, systematically stealing secrets from Actions environments and confirmed to have exfiltrated over 3,000 secrets including npm tokens used in subsequent supply chain attack waves.",AV-410,https://securitylabs.datadoghq.com/articles/learnings-from-recent-npm-compromises/,AV-410
gh457,GHSA-7v68-3pr5-h3cr: @lottiefiles/lottie-player Compromised via Stolen npm Token Deploys Web3 Wallet-Draining Script,"The @lottiefiles/lottie-player npm package versions 2.0.5, 2.0.6, and 2.0.7 were compromised via a stolen npm token injecting a wallet-draining script targeting Web3 cryptocurrency sites, discovered within hours when a developer at a crypto firm noticed an unusual transaction traced back to a Lottie animation.",AV-400,https://thebrightbyte.com/playbook/insights/supply-chain-attacks-xz-npm-pypi,AV-400
gh458,CVE-2024-54134: @solana/web3.js Versions 1.95.6 and 1.95.7 Backdoored to Exfiltrate Private Keys to Hardcoded Wallet,"CVE-2024-54134 documents that @solana/web3.js versions 1.95.6 and 1.95.7 shipped with a backdoor that exfiltrated Solana wallet private keys to a hardcoded attacker-controlled wallet address, affecting Solana DeFi applications and developers building cryptocurrency applications on the Solana blockchain ecosystem.",AV-400,https://github.com/advisories/GHSA-jcxm-7wvp-g6p5,AV-400
gh459,Malicious PyPI Packages termncolor and colorinal Downloaded 884 Times Deploy DLL Side-Loading Malware with C2 Communication,"The malicious PyPI packages termncolor and colorinal were downloaded 884 times before discovery, exploiting DLL side-loading vulnerabilities to execute malicious code, establishing persistence mechanisms, and communicating with a command-and-control infrastructure via the Zulip messaging platform where the threat actor had been active since July 2025.",AV-200,https://thehackernews.com/2025/08/malicious-pypi-and-npm-packages.html,AV-200
gh460,SlowMist Documents Fake Job Assessment npm Repository Harvesting iCloud Keychain Browser Data and Cryptocurrency Wallets,"SlowMist researchers documented a social engineering supply chain attack where threat actors tricked developers into cloning a GitHub repository disguised as a job technical assessment containing a booby-trapped npm package that harvested iCloud Keychain data, web browser credentials, and cryptocurrency wallet information before exfiltrating to an external server.",AV-200,https://thehackernews.com/2025/08/malicious-pypi-and-npm-packages.html,AV-200
gh461,Malicious Job Assessment npm Package Downloads Python Scripts to Log Keystrokes Take Screenshots and Steal Credentials,"A malicious npm package disguised as part of a developer job technical assessment downloaded Python scripts that logged all keystrokes, took periodic screenshots, scanned file systems for sensitive files, stole browser and application credentials, and captured clipboard contents before transmitting the comprehensive data collection to attacker infrastructure.",AV-400,https://thehackernews.com/2025/08/malicious-pypi-and-npm-packages.html,AV-400
gh462,PyPI Implements Expired Domain Check to Prevent Domain Resurrection Supply Chain Account Takeover Attacks,PyPI implemented a new security feature checking for expired domains associated with maintainer accounts after documenting domain resurrection attacks where attackers purchased expired domains linked to PyPI maintainer email addresses to trigger password reset flows and take over package publishing accounts.,AV-509,https://blog.pypi.org/archive/2025/,AV-509
gh463,PyPI Security Responds to GitHub Actions Campaign Stealing PyPI Publishing Tokens from Workflow Secrets,"PyPI security administrators responded to an attack campaign where malicious actors injected code into GitHub Actions workflows targeting repositories with PyPI tokens stored as GitHub secrets, modifying workflows to transmit tokens to external servers before invaliding all affected tokens and notifying impacted maintainers.",AV-410,https://blog.pypi.org/archive/2025/,AV-410
gh464,Socket Documents npm Phishing Email Campaign Using Typosquatted Domain to Target Package Maintainers,"Socket researchers documented an npm phishing email campaign using a typosquatted domain closely resembling the official npm support address, sending fraudulent security notifications to package maintainers to steal credentials and gain unauthorized publishing access to widely-used npm packages.",AV-200,https://socket.dev/blog/npm-phishing-email-targets-developers-with-typosquatted-domain,AV-200
