id,title,description,label_session2
gh455,Compromised debug chalk and ansi-styles npm Packages Inject Crypto Stealer Downloaded 2.5 Million Times,"Following the phishing compromise of maintainer Qix, malicious versions of debug, chalk, and ansi-styles npm packages containing obfuscated browser-based cryptocurrency-stealing malware hooking browser APIs to hijack transactions were downloaded over 2.5 million times before removal.",AV-400
gh795,Fundamentally New Initial Access Technique Requiring No Stolen Credential Introduced in Mini Shai-Hulud Wave 5 May 2026,"Unit 42 documented that Mini Shai-Hulud Wave 5 in May 2026 introduced a fundamentally new initial access technique that required no stolen credential, representing a significant escalation from all previous supply chain worm campaigns that depended on phishing or credential theft as the initial access vector for gaining package publishing access.",AV-410
gh211,Nx Build System npm Package Embeds Encrypted Payload Decrypted Only at Runtime,"The compromised Nx build system npm package embedded an encrypted malicious payload that remained completely hidden during static analysis, only decrypting and executing its credential-stealing code at runtime when the build system was actively processing jobs.",AV-400
gh311,aliyun-ai-labs-snippets-sdk PyPI Package Typosquats Legitimate Aliyun AI SDK to Steal Credentials,"Malicious PyPI packages aliyun-ai-labs-snippets-sdk and aliyun-ai-labs-sdk impersonated the legitimate Aliyun AI Labs Python SDK, establishing a C2 server connection and exfiltrating sensitive environment variables and configuration information from developer machines within 24 hours of publication.",AV-200
gh742,npm and PyPI Total Registered Packages Exceed 10 Million Creating Impossible Manual Review Problem for Registry Security Teams,"Security statistics from 2026 documented that combined npm and PyPI registered packages exceeded 10 million total packages, creating an impossible manual review problem for registry security teams that must rely on automated scanning to identify malicious packages, with attackers exploiting scanner limitations through obfuscation and delayed activation techniques.",AV-200
gh580,Shai-Hulud Attack Creates Exponentially Expanding Graph of Compromised Resources Where Each Secret Becomes a New Attack Node,"GitGuardian documented that the Shai-Hulud supply chain worm created an exponentially expanding graph of compromised resources where each stolen secret became a new node enabling access to additional systems, with stolen npm tokens enabling package backdooring, stolen GitHub tokens granting Actions secrets access, and AI tool credentials enabling environment reconnaissance.",AV-410
gh897,Malicious npm Package Targets React Native expo cli to Compromise Mobile App Development and Distribution Pipeline Credentials,"A malicious npm package targeting the React Native Expo development ecosystem stole Expo account credentials and Apple Developer Program tokens, providing access to mobile app distribution infrastructure that could enable publishing malicious app updates to existing users through the compromised developer accounts.",AV-400
gh547,Malicious Unscoped npm Package Shadows Enterprise Scoped Package When Scope Prefix is Accidentally Omitted,"Security researchers documented supply chain attacks exploiting npm scope omission errors where developers accidentally install unscoped malicious packages when forgetting the organization scope prefix, with attackers registering unscoped package names matching the base names of popular enterprise scoped packages.",AV-509
gh438,left-pad npm Package Removal Breaks Thousands of Projects Demonstrating Critical Dependency Risk in npm Ecosystem,"The removal of the left-pad npm package by its author broke thousands of dependent projects worldwide including Babel and React build tools, demonstrating how the npm ecosystem's dependence on small transitive packages creates catastrophic supply chain fragility even without malicious intent.",AV-200
gh680,Aikido Security Documents 20 Popular npm Packages Compromised Including chalk debug strip-ansi color-convert and wrap-ansi,"Aikido Security documented 20 popular npm packages compromised in the Popular Packages campaign including chalk, debug, strip-ansi, color-convert, and wrap-ansi, with StepSecurity confirming the full list and Sonatype and JFrog providing additional analysis of the phishing attack vector used to compromise maintainer Qix's account.",AV-400
